00:09:24	0
00:22:24	8
01:20:24	115
01:39:24	145
02:05:25	269
02:10:25	288
02:15:25	318
02:20:25	360
02:35:30	466
02:40:30	514
02:45:30	538
02:50:30	566
02:57:29	615
03:06:34	675
03:11:34	709
03:16:34	748
03:21:34	785
03:26:34	802
03:31:34	817
03:36:34	829
03:41:34	839
03:46:34	847
03:51:34	859
03:56:34	868
04:01:34	874
04:06:34	881
04:11:34	900
04:16:34	906
04:21:34	917
04:26:34	924
04:31:34	924
04:36:34	934
04:41:34	940
04:46:34	950
04:51:34	955
04:56:34	957
05:01:34	965
05:16:34	984
05:21:34	989
05:26:34	995
05:31:36	1014
05:36:36	1018
05:41:36	1021
05:46:36	1022
05:51:36	1026
