heure,infecte,contamine,pos1,pos2
03:10:03,agathoorr,luxime,,
02:03:06,rlcop,oonei,,
02:25:00,aMa_____,guest3147,440,442
02:13:00,,clu3tik_poggies,328,333
,,vidaviya,93,
